Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Industry,Gas Type,Seasonal Adjustment,Scale,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
Advanced Economies,,AETMP,Quarterly greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA; Organisation for Economic Co-operation and Development (2022), Quarterly National Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=QNA%20; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; Crippa, M., Guizzardi, D., Solazzo, E., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Banja, M., Olivier, J., Grassi, G., Rossi, S. and Vignati, E., GHG emissions of all world countries, EUR 30831 EN, Publications Office of the European Union, Luxembourg, 2021, ISBN 978-92-76-41547-3, doi:10.2760/074804, JRC126363; IEA (2022) Monthly electricity data, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly oil statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly gas statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  Country Authorities; IMF staff calculations.",ECNGA,Greenhouse Gas Emissions (GHG); Air Emissions Accounts,"Environment, Climate Change, Greenhouse Gas Emissions, Air Emissions Accounts","Agriculture, Forestry and Fishing",Carbon dioxide,Not Seasonally Adjusted,Units,44.57733532,48.57815508,52.05042616,50.2196285,43.61401048,48.46995624,49.65075494,51.2334326,45.03479707,49.38164372,49.95164411,49.51649829,43.95302023,48.08051538,50.42498546,49.02831232,43.22401798,48.09039778,50.97093235,50.12410029,44.76064725,49.91730282,50.34610591,49.94659303,45.2442962,43.76903473,48.79793357,51.17723548,42.60457637,47.37585728,51.20330138,49.59873462,42.6526885,47.54860019,50.87942482,48.48942109,41.04230222,47.68636409,49.92775624,50.50491133,43.27981898,43.01153674,50.12543209,48.33297132,42.60483857,48.11717542,48.79995889,48.70168026,42.76289604,44.63002081,49.62131728,45.62182395,41.34355363,45.34048317,46.57377581,47.11194724,39.08655163,46.32241046
Advanced Economies,,AETMP,Quarterly greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA; Organisation for Economic Co-operation and Development (2022), Quarterly National Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=QNA%20; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; Crippa, M., Guizzardi, D., Solazzo, E., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Banja, M., Olivier, J., Grassi, G., Rossi, S. and Vignati, E., GHG emissions of all world countries, EUR 30831 EN, Publications Office of the European Union, Luxembourg, 2021, ISBN 978-92-76-41547-3, doi:10.2760/074804, JRC126363; IEA (2022) Monthly electricity data, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly oil statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly gas statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  Country Authorities; IMF staff calculations.",ECNGA,Greenhouse Gas Emissions (GHG); Air Emissions Accounts,"Environment, Climate Change, Greenhouse Gas Emissions, Air Emissions Accounts","Agriculture, Forestry and Fishing",Carbon dioxide,Seasonally Adjusted,Units,48.54290148,48.2676346,49.75629222,48.85871677,47.60247269,48.10944585,47.39498867,49.86124704,49.07454471,49.01924394,47.77472598,48.01606856,48.07975729,47.70091212,48.29794596,47.40821804,47.41843012,47.8955664,48.78116593,48.31428595,49.18886535,49.80157594,47.898409,48.08179872,49.89755852,43.57458616,45.9824964,49.53385891,47.24305334,47.32479483,48.42333692,47.79128455,47.27091471,47.52080823,48.04643142,46.73198024,45.50576906,47.73763487,47.17317228,48.74475768,47.78023843,43.08111611,47.33035466,46.55804994,47.10765643,48.11715996,46.04736872,46.95146802,47.22410949,44.51336673,46.95999811,43.93858375,45.64016553,45.04666583,44.18494761,45.49800715,43.3421009,45.91395835
Advanced Economies,,AETMP,Quarterly greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA; Organisation for Economic Co-operation and Development (2022), Quarterly National Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=QNA%20; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; Crippa, M., Guizzardi, D., Solazzo, E., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Banja, M., Olivier, J., Grassi, G., Rossi, S. and Vignati, E., GHG emissions of all world countries, EUR 30831 EN, Publications Office of the European Union, Luxembourg, 2021, ISBN 978-92-76-41547-3, doi:10.2760/074804, JRC126363; IEA (2022) Monthly electricity data, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly oil statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly gas statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  Country Authorities; IMF staff calculations.",ECNGA,Greenhouse Gas Emissions (GHG); Air Emissions Accounts,"Environment, Climate Change, Greenhouse Gas Emissions, Air Emissions Accounts","Agriculture, Forestry and Fishing",Fluorinated gases,Not Seasonally Adjusted,Units,0.238843138,0.251847679,0.253289283,0.26530674,0.259353247,0.264839317,0.258955532,0.266916674,0.25489006,0.260327771,0.260555722,0.282817268,0.2838082,0.280966961,0.27946159,0.290700404,0.27063564,0.26862885,0.267354483,0.276508206,0.268974623,0.274947162,0.274283141,0.291495825,0.259744299,0.264245393,0.263750127,0.272295186,0.259250102,0.269086311,0.260870556,0.257585698,0.234758422,0.229804061,0.222972288,0.220060591,0.210842105,0.213922294,0.212856558,0.237358917,0.220689105,0.189971121,0.209101131,0.212877298,0.195207924,0.195125655,0.194892834,0.187976903,0.178906478,0.162774609,0.160956041,0.161091371,0.171659874,0.151282664,0.152739048,0.156000715,0.149253292,0.150077622
Advanced Economies,,AETMP,Quarterly greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA; Organisation for Economic Co-operation and Development (2022), Quarterly National Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=QNA%20; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; Crippa, M., Guizzardi, D., Solazzo, E., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Banja, M., Olivier, J., Grassi, G., Rossi, S. and Vignati, E., GHG emissions of all world countries, EUR 30831 EN, Publications Office of the European Union, Luxembourg, 2021, ISBN 978-92-76-41547-3, doi:10.2760/074804, JRC126363; IEA (2022) Monthly electricity data, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly oil statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly gas statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  Country Authorities; IMF staff calculations.",ECNGA,Greenhouse Gas Emissions (GHG); Air Emissions Accounts,"Environment, Climate Change, Greenhouse Gas Emissions, Air Emissions Accounts","Agriculture, Forestry and Fishing",Fluorinated gases,Seasonally Adjusted,Units,0.243637163,0.250891545,0.257002301,0.257755831,0.262844228,0.264794816,0.262716012,0.259709713,0.258527924,0.260648952,0.264601541,0.274812404,0.28800573,0.281290036,0.283351863,0.282289525,0.274806317,0.270214152,0.270249088,0.267857621,0.275399769,0.275256471,0.276468935,0.282575575,0.265432175,0.265165295,0.26547663,0.263960906,0.264505289,0.270676592,0.261549067,0.25006172,0.239889269,0.23151233,0.222935724,0.21325804,0.214949652,0.216599356,0.212929471,0.230501395,0.222919279,0.193603687,0.209180188,0.206935501,0.198162862,0.198562362,0.194696075,0.181782017,0.179229553,0.167113441,0.161451025,0.15593448,0.171644017,0.154849745,0.153845629,0.151342911,0.150820558,0.153181269
Advanced Economies,,AETMP,Quarterly greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA; Organisation for Economic Co-operation and Development (2022), Quarterly National Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=QNA%20; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; Crippa, M., Guizzardi, D., Solazzo, E., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Banja, M., Olivier, J., Grassi, G., Rossi, S. and Vignati, E., GHG emissions of all world countries, EUR 30831 EN, Publications Office of the European Union, Luxembourg, 2021, ISBN 978-92-76-41547-3, doi:10.2760/074804, JRC126363; IEA (2022) Monthly electricity data, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly oil statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly gas statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  Country Authorities; IMF staff calculations.",ECNGA,Greenhouse Gas Emissions (GHG); Air Emissions Accounts,"Environment, Climate Change, Greenhouse Gas Emissions, Air Emissions Accounts","Agriculture, Forestry and Fishing",Greenhouse gas,Not Seasonally Adjusted,Units,417.4941873,297.527793,281.0613088,367.0639934,414.4917193,294.9909205,274.7980912,360.4353491,387.3325316,296.2088804,281.824971,363.583215,415.859506,301.9013196,279.7086701,374.0679967,436.9574936,299.9813179,278.4570377,370.7113692,440.3080759,308.2166899,287.020526,358.1167087,404.28029,299.7745114,283.301485,367.8749906,403.0497301,302.2540008,286.7188091,370.6690421,420.4047542,303.591492,275.1302603,372.2944638,423.1384144,295.4819769,274.9320313,374.5305669,401.4007333,288.9646991,277.6709194,365.3536934,417.6106338,296.3560872,271.3101815,350.0893633,407.6270355,290.104146,267.4045799,361.8407404,403.6531658,291.5454042,267.2901898,357.0785982,404.4080415,289.0536537
Advanced Economies,,AETMP,Quarterly greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA; Organisation for Economic Co-operation and Development (2022), Quarterly National Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=QNA%20; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; Crippa, M., Guizzardi, D., Solazzo, E., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Banja, M., Olivier, J., Grassi, G., Rossi, S. and Vignati, E., GHG emissions of all world countries, EUR 30831 EN, Publications Office of the European Union, Luxembourg, 2021, ISBN 978-92-76-41547-3, doi:10.2760/074804, JRC126363; IEA (2022) Monthly electricity data, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly oil statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly gas statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  Country Authorities; IMF staff calculations.",ECNGA,Greenhouse Gas Emissions (GHG); Air Emissions Accounts,"Environment, Climate Change, Greenhouse Gas Emissions, Air Emissions Accounts","Agriculture, Forestry and Fishing",Greenhouse gas,Seasonally Adjusted,Units,343.994633,338.4496507,338.2066581,342.4963406,343.093187,336.1263275,329.8956468,335.6009188,324.27873,329.0842793,341.4088437,334.1777449,337.7031504,343.7641166,338.8486045,351.221621,356.7905577,343.3272664,336.5846624,349.404732,356.7890298,348.1657757,354.8642372,333.8429579,330.9247752,337.3901542,345.3653981,341.5509494,330.2261475,336.2532873,357.2898407,338.9223066,346.2986403,346.3875843,331.2484311,347.4863147,347.8218153,336.0004611,338.2613658,345.9993473,331.7251952,327.7859328,338.540541,335.3383762,336.326312,335.3861839,334.6436247,329.0101452,337.7024103,332.203175,317.4051921,339.6657244,331.0240625,330.4733197,328.2501045,329.8197236,325.49983,326.3837866
Advanced Economies,,AETMP,Quarterly greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA; Organisation for Economic Co-operation and Development (2022), Quarterly National Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=QNA%20; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; Crippa, M., Guizzardi, D., Solazzo, E., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Banja, M., Olivier, J., Grassi, G., Rossi, S. and Vignati, E., GHG emissions of all world countries, EUR 30831 EN, Publications Office of the European Union, Luxembourg, 2021, ISBN 978-92-76-41547-3, doi:10.2760/074804, JRC126363; IEA (2022) Monthly electricity data, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly oil statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly gas statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  Country Authorities; IMF staff calculations.",ECNGA,Greenhouse Gas Emissions (GHG); Air Emissions Accounts,"Environment, Climate Change, Greenhouse Gas Emissions, Air Emissions Accounts","Agriculture, Forestry and Fishing",Methane,Not Seasonally Adjusted,Units,161.7256399,157.8421806,160.4502793,164.8203405,160.4642621,155.6918679,157.1670549,166.7420205,160.6934097,157.3970776,158.5826603,163.7730501,157.9252062,156.6387015,158.45677,163.7660794,159.6158834,156.7143507,156.2985235,164.0852741,162.1005912,158.3702699,157.7209339,163.8947973,157.661592,156.2616296,159.025958,163.8637744,161.9217684,158.2395181,160.1523148,162.4191634,161.9045052,159.9668046,159.58569,163.0736962,159.2662653,155.5487585,157.9544052,164.4125144,162.0876175,149.1387492,159.0952679,164.2490088,158.593956,154.328261,156.0170096,162.9176681,159.0142511,158.5340962,159.075058,161.209581,162.0734318,156.6665732,156.3258353,159.6641605,158.6338661,153.060713
Advanced Economies,,AETMP,Quarterly greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA; Organisation for Economic Co-operation and Development (2022), Quarterly National Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=QNA%20; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; Crippa, M., Guizzardi, D., Solazzo, E., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Banja, M., Olivier, J., Grassi, G., Rossi, S. and Vignati, E., GHG emissions of all world countries, EUR 30831 EN, Publications Office of the European Union, Luxembourg, 2021, ISBN 978-92-76-41547-3, doi:10.2760/074804, JRC126363; IEA (2022) Monthly electricity data, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly oil statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly gas statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  Country Authorities; IMF staff calculations.",ECNGA,Greenhouse Gas Emissions (GHG); Air Emissions Accounts,"Environment, Climate Change, Greenhouse Gas Emissions, Air Emissions Accounts","Agriculture, Forestry and Fishing",Methane,Seasonally Adjusted,Units,161.8701466,161.1707758,161.4619218,160.3355962,160.8029742,158.6930429,158.2531556,162.3160327,160.7938156,160.3781445,159.8903085,159.383929,157.9589799,159.2311041,160.0509194,159.5457537,159.5744442,159.1614472,158.0690123,159.9091281,162.0029873,160.7994093,159.4445655,159.8396302,157.2398169,158.4104608,160.5536653,160.6090111,161.3430602,160.4692121,160.7424772,160.1780151,161.1397017,162.4095767,160.5374253,160.4439923,158.5031882,158.0866117,159.111261,161.4808825,161.2761567,151.7185949,160.4843857,161.0915062,157.7665576,156.9775343,157.226068,159.8867347,157.8645714,160.9683324,160.4533378,158.5467447,160.6381357,159.0888075,157.87082,157.1322562,157.044878,155.5524954
Advanced Economies,,AETMP,Quarterly greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA; Organisation for Economic Co-operation and Development (2022), Quarterly National Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=QNA%20; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; Crippa, M., Guizzardi, D., Solazzo, E., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Banja, M., Olivier, J., Grassi, G., Rossi, S. and Vignati, E., GHG emissions of all world countries, EUR 30831 EN, Publications Office of the European Union, Luxembourg, 2021, ISBN 978-92-76-41547-3, doi:10.2760/074804, JRC126363; IEA (2022) Monthly electricity data, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly oil statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly gas statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  Country Authorities; IMF staff calculations.",ECNGA,Greenhouse Gas Emissions (GHG); Air Emissions Accounts,"Environment, Climate Change, Greenhouse Gas Emissions, Air Emissions Accounts","Agriculture, Forestry and Fishing",Nitrous oxide,Not Seasonally Adjusted,Units,210.9523689,90.85560962,68.30731405,151.7587176,210.1540935,90.56425708,67.72132577,142.1929793,181.3494348,89.16983133,73.03011088,150.0108494,213.6974714,96.90113578,70.547453,160.9829046,233.8469566,94.90794063,70.92022737,156.2254866,233.1778628,99.65417002,78.6792031,143.9838226,201.1146575,99.47960168,75.21384331,152.5616855,198.2641353,96.36953911,75.10232237,158.3935584,215.6128021,95.84628316,64.44217321,160.5112859,222.6190048,92.03293202,66.83701331,159.3757823,195.8126077,96.62444203,68.2411182,152.5588359,216.2166313,93.71552511,66.29832024,138.2820381,205.6709819,86.77725436,58.54724857,154.8482441,200.0645205,89.38706521,64.23783969,150.1464898,206.5383704,89.52045267
Advanced Economies,,AETMP,Quarterly greenhouse gas (GHG) air emissions accounts,Million metric tons of CO2 equivalent,"Organisation for Economic Co-operation and Development (2022), Air Emission Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=AEA; Organisation for Economic Co-operation and Development (2022), Air Emission Accounts – OECD Estimates, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=OECD-AEA; Organisation for Economic Co-operation and Development (2022), Quarterly National Accounts, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=QNA%20; United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Copyright 2022 United Nations Framework Convention on Climate Change; Crippa, M., Guizzardi, D., Solazzo, E., Muntean, M., Schaaf, E., Monforti-Ferrario, F., Banja, M., Olivier, J., Grassi, G., Rossi, S. and Vignati, E., GHG emissions of all world countries, EUR 30831 EN, Publications Office of the European Union, Luxembourg, 2021, ISBN 978-92-76-41547-3, doi:10.2760/074804, JRC126363; IEA (2022) Monthly electricity data, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly oil statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  IEA (2022) Monthly gas statistics, www.iea.org/statistics, All rights reserved; as modified by IMF;  Country Authorities; IMF staff calculations.",ECNGA,Greenhouse Gas Emissions (GHG); Air Emissions Accounts,"Environment, Climate Change, Greenhouse Gas Emissions, Air Emissions Accounts","Agriculture, Forestry and Fishing",Nitrous oxide,Seasonally Adjusted,Units,133.3379478,128.7603488,126.7314418,133.0442718,134.4248958,129.059044,123.9847865,123.1639293,114.1518418,119.4262419,133.4792077,126.502935,131.3764075,136.5508103,130.2163873,143.9853597,149.5228771,136.0000387,129.4642351,140.9134603,145.3217774,137.289534,147.2447938,125.6389534,123.5219677,135.139942,138.5637598,131.1441185,121.3755287,128.1886037,147.8624775,130.7029452,137.6481347,136.225687,122.4416386,140.0970842,143.5979084,129.9596152,131.7640031,135.5432057,122.4458809,132.7926181,130.5166204,127.4818845,131.2539351,130.0929273,131.1754919,121.9901605,132.4344999,126.5543624,109.8304052,137.0244614,124.5741173,126.1829966,126.0404913,127.0381173,124.9620306,124.7641516
