Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argentina,AR,ARG,"CO2 Emissions Embodied in Final Demand, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTDB,CO2 Emissions Embodied in Final Demand; Of which: Final Demand Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Demand Balance",Units,-14.409,-15.594,-17.548,-21.833,-19.284,-18.145,-12.844,17.215,13.774,12.696,10.726,9.166,5.898,3.019,6.714,-1.008,-6.515,-6.965,-12.552,-9.297,-15.944,-13.313,-19.797,-13.466,,,
Argentina,AR,ARG,CO2 Emissions Embodied in Final Domestic Demand,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTDD,CO2 Emissions Embodied in Final Demand; Of which: Final Domestic Demand,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Domestic Demand",Units,123.641,135.533,140.662,152.238,151.17,148.335,136.241,98.57,111.983,126.747,132.928,142.893,154.081,161.586,147.445,165.866,180.293,182.462,193.091,186.311,198.681,194.187,196.598,187.174,,,
Argentina,AR,ARG,CO2 Emissions Embodied in Gross Exports,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTTX,CO2 Emissions Embodied in Trade; Exports,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade, Exports",Units,9.473,11.429,15.177,13.623,12.487,14.623,14.679,30.743,31.212,37.283,37.046,38.942,41.335,43.707,36.935,37.177,39.573,36.357,33.912,31.563,26.057,28.669,26.771,30.708,24.355,16.78,19.068
Argentina,AR,ARG,"CO2 Emissions Embodied in Gross Exports, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTT,CO2 Emissions Embodied in Trade; Trade Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade",Units,-14.407,-15.593,-17.547,-21.832,-19.283,-18.143,-12.842,17.216,13.775,12.697,10.727,9.167,5.898,3.019,6.714,-1.008,-6.514,-6.964,-12.552,-9.297,-15.944,-13.312,-19.797,-13.466,-11.822,-17.565,-23.478
Argentina,AR,ARG,CO2 Emissions Embodied in Gross Imports,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTT,CO2 Emissions Embodied in Trade; Imports,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade",Units,23.535,26.678,32.304,34.901,31.28,32.388,27.193,13.512,17.457,24.709,26.572,30.144,35.931,41.102,30.334,38.298,46.175,43.314,46.432,40.831,41.792,41.557,46.118,43.914,36.177,34.345,42.546
Argentina,AR,ARG,CO2 Emissions Embodied in Production,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTP,CO2 Emissions Embodied in Production,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Production",Units,109.232,119.939,123.113,130.405,131.885,130.19,123.397,115.785,125.757,139.443,143.654,152.059,159.978,164.605,154.159,164.858,173.778,175.497,180.539,177.014,182.737,180.874,176.8,173.708,,,
Australia,AU,AUS,"CO2 Emissions Embodied in Final Demand, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTDB,CO2 Emissions Embodied in Final Demand; Of which: Final Demand Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Demand Balance",Units,15.581,20.609,14.521,10.903,19.595,21.412,30.081,18.175,8.236,-7.933,-25.49,-26.48,-24.008,-23.787,-21.896,-34.085,-43.084,-53.419,-55.27,-30.534,-27.069,-15.641,-6.623,-13.035,,,
Australia,AU,AUS,CO2 Emissions Embodied in Final Domestic Demand,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTDD,CO2 Emissions Embodied in Final Demand; Of which: Final Domestic Demand,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Final Demand, Of which: Final Domestic Demand",Units,278.026,283.901,298.261,322.338,319.911,324.261,321.646,340.303,350.474,380.964,403.715,411.912,419.981,422.065,428.866,433.846,440.186,451.876,447.865,412.641,416.007,414.031,409.288,412.864,,,
Australia,AU,AUS,CO2 Emissions Embodied in Gross Exports,Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTTX,CO2 Emissions Embodied in Trade; Exports,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade, Exports",Units,76.705,86.704,87.379,92.206,96.224,100.803,106.922,94.604,95.106,96.243,99.038,104.265,111.967,118.421,119.367,105.221,120.541,125.931,118.717,130.242,124.815,120.774,131.746,127.345,139.036,133.346,133.499
Australia,AU,AUS,"CO2 Emissions Embodied in Gross Exports, balance",Millions of metric tons,"OECD (2021), Trade in embodied CO2 (TeCO₂) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm. International Monetary Fund (IMF). 2022. Direction of Trade Statistics (DOTS). https://data.imf.org/dot.",ECBTT,CO2 Emissions Embodied in Trade; Trade Balance,"Environment, Climate Change, Cross-Border, Trade-Related, CO2 Emissions Embodied in Trade",Units,15.581,20.611,14.521,10.905,19.595,21.412,30.081,18.175,8.237,-7.933,-25.49,-26.48,-24.008,-23.787,-21.896,-34.085,-43.084,-53.419,-55.27,-30.534,-27.069,-15.641,-6.623,-13.035,-6.959,-9.45699999999999,-25.279
