Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,AL,ALB,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Domestic Currency,,,,,,,,,,,,,,,,,,,,,43993138348.27,47813792742.97,47548576614.95,51145591824.17,53415648050.56,,
Albania,AL,ALB,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Percent of GDP,,,,,,,,,,,,,,,,,,,,,3.06720620873782,3.24716268492612,3.06637313604198,3.12486507834958,3.15713338662001,,
Albania,AL,ALB,Taxes on Energy (including fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEN,Taxes on Energy (Including Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)",Domestic Currency,,,,,,,,,,,,,,,,,,,,,37741109827.0,40945615341.0,40400044445.82,43521821908.6,45165295551.0,,
Albania,AL,ALB,Taxes on Energy (including fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEN,Taxes on Energy (Including Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Energy (Including Fuel for Transport)",Percent of GDP,,,,,,,,,,,,,,,,,,,,,2.63131412607172,2.78072636825453,2.60536949374452,2.65907220109757,2.6694960691229,,
Albania,AL,ALB,Taxes on Pollution,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEP,Taxes on Pollution,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution",Domestic Currency,,,,,,,,,,,,,,,,,,,,,1782068792.97,1879969501.87,1941324188.75,2226251450.57,2625011287.71,,
Albania,AL,ALB,Taxes on Pollution,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTEP,Taxes on Pollution,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Pollution",Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.124246022707549,0.127673762424316,0.125194585506474,0.136018279687278,0.155151366296992,,
Albania,AL,ALB,Taxes on Resources,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTER,Taxes on Resources,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources",Domestic Currency,,,,,,,,,,,,,,,,,,,,,32546493.0,52524339.0,61861356.38,56011991.0,58777099.5,,
Albania,AL,ALB,Taxes on Resources,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTER,Taxes on Resources,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Resources",Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.0022691448973693,0.0035670684935632,0.0039893938970848,0.0034221896433705,0.0034740221259599,,
Albania,AL,ALB,Taxes on Transport (excluding fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTET,Taxes on Transport (Excluding Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)",Domestic Currency,,,,,,,,,,,,,,,,,,,,,4437413235.3,4935683561.1,5145346624.0,5341506474.0,5566564112.35,,
Albania,AL,ALB,Taxes on Transport (excluding fuel for transport),"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTET,Taxes on Transport (Excluding Fuel for Transport),"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes, Taxes on Transport (Excluding Fuel for Transport)",Percent of GDP,,,,,,,,,,,,,,,,,,,,,0.309376915061182,0.335195485753713,0.331819662893909,0.326352407921358,0.329011929074157,,
"Andorra, Principality of",AD,AND,Environmental Taxes,"Organisation for Economic Co-operation and Development (2020), Environmentally Related Tax Revenue, OECD.Stat https://stats.oecd.org/Index.aspx?DataSetCode=ERTR; International Monetary Fund (IMF), Statistics Department (Government Finance Division) Questionnaire.",ECGTE,Environmental Taxes,"Environment, Climate Change, Government Policy, Taxes, Environmental Taxes",Domestic Currency,,,,,,,,,,,,,,,,,,,,,4600367270000.0,4616888784305.39,5043868510000.0,5283534540000.0,5675649250000.0,6462284890000.0,
