Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,GCAM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.41716,14.63713,14.80714,15.00408,15.1072,15.17596,15.22067
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.44502,14.63116,14.77769,14.93787,15.10748,15.29509,15.43627
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.41635,14.62231,14.78423,15.02243,15.16239,15.25506,15.29649
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.4401,14.60967,14.72946,14.88184,15.01529,15.1488,15.27197
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.41615,14.61678,14.78128,14.96721,15.05349,15.09937,15.06945
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.44046,14.6138,14.73482,14.88549,15.02382,15.16113,15.30572
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.41741,14.6424,14.81407,14.99594,15.06318,15.08912,15.04811
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.40049,14.62549,14.81785,15.00914,15.09935,15.16523,15.20277
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.42319,14.60895,14.72631,14.87722,15.01948,15.15355,15.29078
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.40032,14.62161,14.78064,15.02803,15.15516,15.2322,15.28019
Albania,AL,ALB,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.42333,14.60825,14.72676,14.90171,15.04102,15.13825,15.23508
