Country,ISO2,ISO3,Indicator,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided acute damages,GCAM,Delayed Transition (Disorderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,5.532054458,2.393796129,4.434098302,4.452607027,4.538877871,4.377421744,4.491384608,4.251210795,5.803383163,4.735707704,4.660469666,5.94887464,6.004277256,5.805750782,6.290371612,6.269494529,6.730889895,6.867742605,7.586904973,7.382503044,7.489949915,8.486217006,6.842838911,7.333791578,7.105588378,7.941848412,8.150609508,8.690104838
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided acute damages,GCAM,Net Zero 2050 (Orderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,5.534502898,2.420236248,4.460041948,4.435616347,4.5512575,4.366969846,4.459371493,4.242684098,5.738520496,5.907170033,5.859973145,7.462578187,7.180641666,7.708967757,7.654939809,7.808862412,8.158598635,8.314961373,9.239285894,9.252990647,9.034150162,10.38265039,10.12939727,10.64119832,10.71579984,11.43904939,11.77380578,12.05873719
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided acute damages,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,5.531129545,2.394948058,4.438338277,4.458322533,4.544661666,4.380616895,4.492565555,4.251002148,5.801352131,4.733864736,4.659369633,5.947933613,6.003658612,5.805833754,6.292066399,6.27316462,6.735524644,6.871477,7.590285418,7.385770008,7.492584146,8.485935701,6.837547956,7.322915532,7.092438489,7.924510119,8.129754579,8.664860041
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided acute damages,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,5.533577576,2.421400901,4.46430673,4.441310043,4.55705707,4.370157368,4.460544022,4.24247587,5.736512164,5.904871173,5.858589987,7.461397714,7.179901817,7.709077928,7.657002246,7.813433631,8.164216474,8.319482705,9.243402579,9.257085355,9.037327492,10.38230622,10.12156512,10.62541737,10.69596875,11.41407616,11.74368019,12.0237065
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided acute damages,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,5.53346389,2.395401452,4.438674245,4.458105115,4.543251489,4.378498305,4.489829534,4.247389995,5.795483891,4.728733342,4.655270904,5.94455059,6.001619422,5.804662128,6.289191337,6.267512561,6.727565243,6.862413955,7.580635629,7.378218066,7.48730464,8.480920018,6.833938086,7.322469182,7.0956236,7.930023457,8.136888972,8.673831232
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided acute damages,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,5.535912953,2.421859303,4.464644665,4.441093455,4.555643047,4.368043837,4.457827502,4.238870962,5.730709512,5.898470437,5.853436334,7.457153874,7.177463107,7.707522224,7.653503497,7.806393805,8.154568782,8.308509832,9.231651126,9.247619995,9.030959511,10.37616968,10.11622145,10.62476973,10.70077215,11.4220173,11.75398604,12.03615528
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided chronic damages,GCAM,Delayed Transition (Disorderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,0.336318791,0.489775048,0.633017186,0.738903828,0.865203188,1.016845083,1.132007564,1.241062547,1.367390442,1.446735654,1.547126687,1.695237948,1.835532141,2.010243547,2.151740064,2.306659736,2.493015324,2.660237118,2.920940777,3.143818839,3.34249323,3.62099987,3.862932786,4.157699502,4.472676474,4.790109268,5.166317953,5.555019244
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided chronic damages,GCAM,Net Zero 2050 (Orderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,0.291723575,0.428711358,0.544157618,0.633541991,0.746682528,0.870222199,0.954290165,1.054589043,1.200082551,1.326809211,1.489203366,1.724662497,1.949690193,2.180115005,2.377986055,2.623285769,2.923650398,3.19840788,3.565042621,3.881988578,4.169117283,4.538949774,4.859523412,5.257920924,5.707334696,6.14773444,6.595149779,7.01742664
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided chronic damages,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,0.318444534,0.512713111,0.679574136,0.809122418,0.929334948,1.024781747,1.106585375,1.19816727,1.291947236,1.355395821,1.462813829,1.614885929,1.755423321,1.927169976,2.089645141,2.293015485,2.517402574,2.704264624,2.983477824,3.236220113,3.461583086,3.731499947,3.909365528,4.124569911,4.405458427,4.702042499,5.035785679,5.372228247
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided chronic damages,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,0.309483289,0.501756816,0.661137784,0.759749699,0.821038024,0.852401265,0.861493622,0.907025592,1.030495964,1.188089921,1.406358975,1.687982368,1.960374428,2.259851917,2.541106772,2.867845103,3.21792866,3.506516411,3.891162845,4.229324976,4.522528076,4.888586065,5.167561219,5.518979087,5.926234794,6.309339589,6.705420905,7.085765505
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided chronic damages,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,0.324516997,0.496149703,0.665433451,0.789974939,0.882330281,0.962819233,1.035244486,1.120329201,1.234211812,1.330206949,1.498085674,1.742429722,1.95649742,2.174245323,2.320827135,2.488932111,2.690014312,2.84968413,3.135924114,3.435272583,3.708785611,4.012114541,4.217658516,4.539275839,4.946524141,5.330745046,5.733975072,6.12349237
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Avoided chronic damages,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,0.304555459,0.474300411,0.639586131,0.754024513,0.837812738,0.919722164,0.990018292,1.077307888,1.218585484,1.367393672,1.595896216,1.907652224,2.210778628,2.544029722,2.829047003,3.130024658,3.4780124,3.773250594,4.178384176,4.551791356,4.889932886,5.288543048,5.591175886,5.994561291,6.461096174,6.880818625,7.301900814,7.702169831
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Business confidence losses,GCAM,Delayed Transition (Disorderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.283984404,-0.991652997,-1.246432998,-0.847865067,-0.496642886,-0.286251202,-0.151468029,-0.054560488,0.018626353,0.065485811,0.086841483,0.085975344,0.071962404,0.054975388,0.037242441,0.021235498,0.005277607,-0.011752227,-0.030319125,-0.050056915
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Business confidence losses,GCAM,Net Zero 2050 (Orderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa (NiGEM),,605NiGEM,Potential National Income Benefit From Avoided Climate Damages,Business confidence losses,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Percent,"Network for Greening the Financial System (2023), Scenarios Portal; and International Institute for Applied Systems Analysis (2023), NGFS Phase 4 Scenario Explorer; IMF Staff Calculations.",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.281395747,-0.982956456,-1.235965452,-0.839526773,-0.488820388,-0.278309055,-0.142994517,-0.045528096,0.027484193,0.073133682,0.092909591,0.090453391,0.075324287,0.057512777,0.038906977,0.022018711,0.005765062,-0.011278862,-0.029587033,-0.049157744
