Country,ISO2,ISO3,Indicator,Unit,Source,Copyright and Usage,CTS Code,CTS Name,CTS Full Descriptor,Growth Type,Sector,Scenarios,Scope,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Below 2°C,Scope 1,0.374586699,0.390651606,0.405550065,0.419282077,0.431847642,0.443246761,0.447400904,0.449726637,0.450223959,0.448892871,0.445733371,0.449906231,0.4529095,0.45474318,0.455407269,0.454901769,0.462786598,0.470072786,0.476760331,0.482849234,0.488339496,0.499018182,0.509361346,0.519368988,0.529041107,0.538377703
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Below 2°C,Scope 2,0.054708795,0.055798415,0.056551432,0.056967848,0.057047661,0.056790872,0.054305433,0.05127068,0.047686614,0.043553234,0.03887054,0.036409157,0.033597169,0.030434575,0.026921375,0.02305757,0.022991068,0.022854436,0.022647674,0.022370784,0.022023764,0.023939312,0.025931983,0.028001775,0.030148689,0.032372725
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Current Policies,Scope 1,0.130088749,0.129170738,0.128249306,0.127324453,0.126396179,0.125464485,0.124745688,0.124021934,0.123293224,0.122559556,0.121820931,0.120943562,0.120065188,0.119185811,0.118305429,0.117424044,0.116536383,0.115650479,0.11476633,0.113883938,0.113003302,0.112445461,0.111886619,0.111326776,0.11076593,0.110204083
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Current Policies,Scope 2,0.019676306,0.019228533,0.01878552,0.018347267,0.017913774,0.01748504,0.017071112,0.016661562,0.016256392,0.015855601,0.01545919,0.015089144,0.014722869,0.014360365,0.014001631,0.013646669,0.013222491,0.0128027,0.012387295,0.011976276,0.011569643,0.011194208,0.01082224,0.01045374,0.010088707,0.00972714
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Delayed transition,Scope 1,0.130121542,0.129118504,0.128113578,0.127106763,0.12609806,0.125087468,0.515822562,0.846920259,1.118380557,1.330203457,1.482388959,1.597235198,1.687453755,1.753044628,1.79400782,1.810343329,1.913474127,2.008908351,2.096646002,2.176687078,2.24903158,2.378363781,2.507095486,2.635226695,2.762757408,2.889687626
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Delayed transition,Scope 2,0.019676306,0.019228533,0.01878552,0.018347267,0.017913774,0.01748504,0.070669366,0.111661668,0.140461945,0.157070198,0.161486427,0.161641427,0.156167923,0.145065912,0.128335396,0.105976375,0.110296516,0.113893964,0.116768721,0.118920786,0.120350158,0.134251839,0.148908549,0.164320287,0.180487055,0.197408851
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Divergent Net Zero,Scope 1,1.859951002,1.886498742,1.900450546,1.901806414,1.890566348,1.866730347,1.86474792,1.854331781,1.835481929,1.808198367,1.772481092,1.783105415,1.789341905,1.79119056,1.788651382,1.781724369,1.820837813,1.858485976,1.894668859,1.92938646,1.962638782,2.02502377,2.087407688,2.149790537,2.212172316,2.274553025
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Divergent Net Zero,Scope 2,0.240258217,0.234086863,0.224966624,0.212897499,0.197879489,0.179912594,0.168183089,0.154487926,0.138827104,0.121200624,0.101608485,0.099574786,0.097053534,0.09404473,0.090548373,0.086564464,0.095470743,0.104780664,0.114494227,0.124611431,0.135132276,0.147385786,0.160142472,0.173402333,0.187165371,0.201431584
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Nationally Determined Contributions (NDCs),Scope 1,0.48231767,0.526207137,0.56930576,0.611613538,0.653130471,0.69385656,0.689346017,0.684777158,0.680149982,0.675464489,0.670720679,0.659976008,0.649146548,0.6382323,0.627233264,0.616149439,0.609654908,0.603120848,0.596547258,0.58993414,0.583281493,0.582721177,0.582145111,0.581553293,0.580945724,0.580322403
Advanced Economies,,AETMP,Carbon Cost to Assets in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFC,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Carbon Cost to Assets in Disclosing Firms",Constant Assets/Revenues,Not applicable,Nationally Determined Contributions (NDCs),Scope 2,0.069255168,0.074046567,0.078449718,0.08246462,0.086091272,0.089329676,0.087317497,0.08527761,0.083210013,0.081114707,0.078991692,0.074216394,0.069388422,0.064507777,0.059574459,0.054588467,0.050851324,0.047078207,0.043269114,0.039424046,0.035543002,0.034944794,0.034340824,0.033731095,0.033115604,0.032494354
