Year,Climate Altering Land Cover Index Climate altering,Total Land Cover Climate altering,Total Land Cover Climate neutral,Total Land Cover Climate regulating
1992,96.82305131,1838657.48,2734702.68,8476521.31
1993,97.06563441,1862838.29,2748924.0,8576699.88
1994,96.87587661,1859196.32,2748969.47,8580294.77
1995,97.44628591,1870143.38,2748697.25,8569620.16
1996,97.60552507,1873199.48,2749042.3,8566219.41
1997,97.84059419,1877710.57,2747808.16,8562940.73
1998,98.14690106,1883588.84,2747063.27,8557805.76
1999,98.82904325,1896680.22,2742785.43,8548992.43
2000,99.33350759,1906842.47,2736872.18,8548069.73
2001,99.53820093,1910772.15,2735269.46,8545744.92
2002,99.70543584,1913981.79,2733159.62,8544640.55
2003,99.79463367,1915694.96,2732274.72,8543818.45
2004,100.1235922,1922009.12,2725075.04,8544699.51
2005,100.0380188,1920366.79,2723774.18,8547645.23
2006,100.1122807,1923282.37,2722740.06,8555991.74
2007,100.0674602,1922421.62,2720452.58,8559142.08
2008,100.1197023,1923424.94,2718871.87,8559717.3
2009,100.1848132,1924676.63,2717005.15,8560338.01
2010,100.1743474,1924475.04,2715743.71,8561797.41
2011,100.1532995,1924070.2,2714677.76,8563264.89
2012,100.0505516,1958320.12,2818461.95,8674035.98
2013,100.0293403,1957904.41,2817674.22,8675235.74
2014,100.0206581,1957734.77,2815385.24,8677696.42
2015,100.0,1957330.56,2815705.29,8677781.52
2016,99.87017056,1954779.2,2814917.87,8681050.33
2017,99.78995676,1953208.78,2813688.05,8683847.96
2018,99.74660735,1952360.62,2806427.31,8691959.11
2019,99.67534087,1950968.58,2804217.15,8695581.12
2020,99.68544943,1951262.77,2801653.24,8698514.93
