Year,CO PPM,CO Percent
1992,356.545,0.23750000000000002
1993,357.215,0.1875
1994,358.9591666666667,0.4883333333333333
1995,360.9683333333333,0.5608333333333334
1996,362.74333333333334,0.4925
1997,363.8766666666666,0.3133333333333333
1998,366.84,0.815
1999,368.53999999999996,0.4633333333333334
2000,369.7075,0.3175
2001,371.31916666666666,0.435
2002,373.45250000000004,0.5750000000000001
2003,375.98333333333335,0.68
2004,377.6983333333333,0.45416666666666666
2005,379.9825,0.605
2006,382.09083333333336,0.555
2007,384.02500000000003,0.5058333333333334
2008,385.83166666666665,0.4725
2009,387.6425,0.4683333333333333
2010,390.1016666666667,0.635
2011,391.85083333333336,0.44916666666666666
2012,394.05583333333334,0.5633333333333334
2013,396.7375,0.68
2014,398.8125,0.5225
2015,401.0125,0.5525
2016,404.41249999999997,0.8483333333333333
2017,406.7583333333334,0.58
2018,408.715,0.4825
2019,411.64916666666664,0.7174999999999999
2020,414.21333333333337,0.6233333333333334
2021,416.4141666666667,0.5308333333333334
2022,418.5291666666667,0.5083333333333333
2023,421.0758333333333,0.6083333333333333
2024,424.5318181818182,0.8372727272727274
