Year,Country,Artificial surfaces (including urban and associated areas): Climate altering,Climate Altering Land Cover Index: Climate altering,Grassland: Climate regulating,Herbaceous crops: Climate altering,Inland water bodies: Climate regulating,Mangroves: Climate regulating,Permanent snow and glaciers: Climate regulating,Shrub-covered areas: Climate regulating,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded: Climate regulating",Sparsely natural vegetated areas: Climate neutral,Terrestrial barren land: Climate neutral,Total Land Cover: Climate altering,Total Land Cover: Climate neutral,Total Land Cover: Climate regulating,Tree-covered areas: Climate regulating,Woody crops: Climate regulating
1992,"Afghanistan, Islamic Rep. of",25.32,98.59218778,24035.39,5763.35,261.23,0.0,317.57,3350.55,5.82,4275.26,24963.0,,,,1263.7,87.43
1992,Africa,,91.83208096,,,,,,,,,,290073.32,890573.61,1419131.0,,
1992,Albania,12.83,95.19283024,401.78,985.6,55.67,0.0,0.0,323.11,6.5,32.98,52.04,,,,786.8,213.15
1992,Algeria,79.55,94.06172189,826.89,8368.58,165.53,0.0,0.0,2063.4,2.08,9113.08,208988.93,,,,1534.52,588.74
1992,American Samoa,0.01,100.3331252,1.48,2.61,1.36,0.16,0.0,1.05,0.0,0.02,0.0,,,,8.21,5.17
1992,Americas,,93.01466777,,,,,,,,,,446690.71,308022.54,3192836.41,,
1992,"Andorra, Principality of",0.17,85.43666419,10.46,0.3,0.0,0.0,0.0,0.8,0.0,5.16,2.3,,,,28.3,0.3
1992,Angola,24.32,93.67627954,17906.34,5316.14,224.48,19.75,0.0,23404.35,720.91,47.31,2666.46,,,,74739.66,354.41
1992,Anguilla,0.05,74.90660025,4.81,0.04,1.22,0.05,0.0,0.12,0.91,0.0,0.02,,,,0.77,0.04
1992,Antigua and Barbuda,0.54,84.3902439,14.19,1.19,6.86,0.5,0.0,0.93,4.09,0.02,0.0,,,,17.42,0.3
1992,Argentina,306.72,92.17860947,14600.69,49504.82,4362.56,0.0,685.92,95921.21,8501.96,46863.31,12508.7,,,,43495.57,1885.19
1992,"Armenia, Rep. of",27.52,94.6338004,655.84,812.39,128.59,0.0,0.0,431.79,1.31,45.55,46.28,,,,701.21,115.23
1992,"Aruba, Kingdom of the Netherlands",0.13,31.98118843,2.98,0.57,0.77,0.02,0.0,11.41,0.25,1.18,0.0,,,,0.16,0.57
1992,Asia,,100.7925978,,,,,,,,,,681912.57,986004.97,1452553.55,,
1992,Australia,576.07,94.78522811,128486.4,50527.73,1490.63,2526.35,0.0,184454.52,10077.1,279546.0,36965.3,,,,76753.54,554.29
1992,Austria,79.96,95.91983402,1433.76,1685.97,67.5,0.0,34.13,297.88,12.84,111.11,195.13,,,,4391.69,82.19
1992,"Azerbaijan, Rep. of",32.16,91.46675899,944.2,3323.17,8013.19,0.0,0.0,978.31,3.35,907.87,459.69,,,,1229.54,604.97
1992,"Bahamas, The",6.11,93.38485058,155.49,12.95,287.08,79.37,0.0,34.94,272.85,3.46,1.57,,,,396.46,3.7
1992,"Bahrain, Kingdom of",10.67,68.97361934,1.52,0.64,6.29,0.0,0.0,0.18,0.04,2.23,42.43,,,,2.3,1.28
1992,Bangladesh,15.76,108.5046031,954.47,9365.24,1221.34,422.56,0.0,881.99,35.97,0.59,7.13,,,,763.98,369.87
1992,Barbados,3.06,103.294232,4.07,25.24,0.95,0.0,0.0,1.5,0.29,0.04,0.0,,,,6.98,1.58
1992,"Belarus, Rep. of",56.97,98.10276147,1294.84,9702.95,206.97,0.0,0.0,527.61,40.19,1.27,0.17,,,,8603.94,282.29
1992,Belgium,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
1992,Belize,0.44,59.21775676,62.88,66.05,65.0,48.07,0.0,81.58,14.63,0.02,0.64,,,,1820.63,36.56
1992,Benin,14.15,105.1706012,419.53,3260.96,23.79,6.78,0.0,4174.21,2.32,0.08,1.05,,,,3463.6,230.07
1992,Bermuda,0.19,100.0,0.04,0.08,3.05,0.0,0.0,0.01,0.74,1.99,0.0,,,,0.05,0.08
1992,Bhutan,0.03,91.71964399,542.93,57.68,1.13,0.0,104.63,256.97,0.05,4.78,6.43,,,,2799.18,8.12
1992,Bolivia,52.67,58.35780788,10779.86,3176.95,1096.07,0.0,85.87,10909.5,2682.49,7467.25,8702.86,,,,63836.68,267.45
1992,Bosnia and Herzegovina,17.3,85.4112536,676.77,1005.03,23.41,0.0,0.0,243.92,6.0,3.15,1.11,,,,2961.83,177.36
1992,Botswana,13.2,89.95434847,4047.37,2653.57,41.45,0.0,0.0,45588.96,757.71,54.67,917.91,,,,4051.51,10.61
1992,Brazil,998.78,84.83648561,63033.68,122419.82,10471.2,652.62,0.0,148715.26,12777.9,179.99,451.75,,,,470206.64,23882.62
1992,British Virgin Islands,0.49,37.88182157,1.42,0.04,3.19,1.32,0.0,0.05,2.5,0.03,0.0,,,,6.28,0.02
1992,Brunei Darussalam,1.08,115.511085,10.33,27.29,11.59,18.57,0.0,7.47,0.0,0.21,0.0,,,,490.27,27.29
1992,Bulgaria,105.51,98.06137403,788.75,5208.24,117.6,0.0,0.0,376.16,10.37,12.62,61.91,,,,4091.84,364.2
1992,Burkina Faso,12.86,99.43023437,5845.93,15471.48,93.87,0.0,0.0,4261.11,26.09,86.15,88.01,,,,1296.94,313.46
1992,Burundi,2.11,90.34219242,458.8,1009.84,199.82,0.0,0.0,278.53,23.51,0.0,0.0,,,,329.16,401.76
1992,Cabo Verde,2.23,100.1864697,49.6,19.84,36.01,0.0,0.0,142.77,2.83,5.68,140.09,,,,8.48,1.45
1992,Cambodia,4.94,85.63522787,1015.17,5775.56,408.54,42.81,0.0,1471.66,475.73,0.28,1.82,,,,8876.67,179.51
1992,Cameroon,26.19,95.04888832,1654.99,4598.1,370.27,234.3,0.0,2636.1,171.92,0.17,4.87,,,,36220.39,925.79
1992,Canada,544.03,98.38632097,159004.78,51881.94,102942.0,0.0,18314.8,52336.35,11967.9,109590.63,39381.67,,,,436976.11,154.64
1992,Cayman Islands,0.26,65.38039378,0.63,0.95,2.72,8.48,0.0,0.32,0.78,0.04,0.0,,,,9.58,2.39
1992,Central African Rep.,8.46,86.99330581,4998.47,777.42,83.39,0.0,0.0,5098.45,24.11,0.0,0.2,,,,51336.96,37.42
1992,Chad,14.58,93.84026396,15938.89,17570.42,367.22,0.0,0.0,15785.62,668.3,6808.09,63961.84,,,,5969.3,147.21
1992,Chile,99.31,123.4048726,5063.21,2992.98,2737.38,0.0,2797.08,14648.23,118.74,11776.88,14019.7,,,,20916.58,326.28
1992,"China, P.R.: Hong Kong",10.28,117.1769384,10.42,19.19,15.56,1.9,0.0,11.37,0.35,0.04,0.02,,,,36.72,3.2
1992,"China, P.R.: Macao",0.43,73.17073171,0.13,0.17,0.55,0.0,0.0,0.02,0.02,0.0,0.0,,,,0.12,0.17
1992,"China, P.R.: Mainland",2566.64,102.3910363,290056.42,204110.67,12331.3,123.09,6286.23,25587.67,3088.73,21593.35,172421.23,,,,185315.49,12954.14
1992,Colombia,127.17,146.5613031,16617.55,6189.24,1099.41,345.89,6.74,6920.24,2373.43,578.14,23.01,,,,76556.94,3689.35
