Year,Country,Value
1992,World,12.760721649484536
1993,World,-22.55694117647059
1994,World,-15.986588235294118
1995,World,-6.315063613231551
1996,World,-8.251323003575685
1997,World,-4.277333333333333
1998,World,0.4092121212121211
1999,World,1.9802424242424246
2000,World,5.773999999999999
2001,World,5.203827160493827
2002,World,5.295196357427433
2003,World,10.338282107574093
2004,World,11.58136186770428
2005,World,7.452073846153847
2006,World,10.359288888888889
2007,World,18.301050920910075
2008,World,31.65000747943156
2009,World,25.966031746031746
2010,World,31.73233225108225
2011,World,31.32696770662288
2012,World,44.27785258270459
2013,World,36.1550036101083
2014,World,42.93449612403101
2015,World,56.32467027027027
2016,World,63.647459954233405
2017,World,55.59897254901961
2018,World,57.4232
2019,World,63.95614301191765
2020,World,80.80081256771398
2021,World,82.61313513513512
2022,World,89.18278563656148
2023,World,84.60517297297298
2024,World,80.2616350877193
1992,United States,1.5116666666666667
1993,United States,-18.135882352941177
1994,United States,-13.522156862745097
1995,United States,-6.630000000000001
1996,United States,-6.5633333333333335
1997,United States,-2.07040404040404
1998,United States,-0.2209090909090909
1999,United States,0.657878787878788
2000,United States,4.704313725490196
2001,United States,3.808301886792453
2002,United States,7.722783018867925
2003,United States,12.314155251141553
2004,United States,13.300879629629629
2005,United States,14.991897435897437
2006,United States,18.409444444444446
2007,United States,16.804864864864864
2008,United States,25.42320987654321
2009,United States,25.15590909090909
2010,United States,17.324324324324323
2011,United States,18.124566210045664
2012,United States,35.20048309178744
2013,United States,28.448452380952382
2014,United States,36.92759259259259
2015,United States,47.05279279279279
2016,United States,52.452238095238094
2017,United States,51.7137908496732
2018,United States,61.64765765765766
2019,United States,67.7927027027027
2020,United States,68.2463963963964
2021,United States,72.95270270270271
2022,United States,75.32330316742082
2023,United States,81.84144144144143
2024,United States,75.36871345029239
1992,"China, P.R.: Mainland",24.54125
1993,"China, P.R.: Mainland",-37.52970588235294
1994,"China, P.R.: Mainland",-21.867941176470588
1995,"China, P.R.: Mainland",-27.47225806451613
1996,"China, P.R.: Mainland",-15.220882352941176
1997,"China, P.R.: Mainland",-13.105151515151514
1998,"China, P.R.: Mainland",-1.305151515151514
1999,"China, P.R.: Mainland",18.11909090909091
2000,"China, P.R.: Mainland",17.284999999999997
2001,"China, P.R.: Mainland",28.406901408450704
2002,"China, P.R.: Mainland",12.275035460992907
2003,"China, P.R.: Mainland",19.022260273972602
2004,"China, P.R.: Mainland",11.406458333333333
2005,"China, P.R.: Mainland",-13.32776923076923
2006,"China, P.R.: Mainland",22.499166666666667
2007,"China, P.R.: Mainland",12.824657534246576
2008,"China, P.R.: Mainland",46.8985046728972
2009,"China, P.R.: Mainland",35.456054421768705
2010,"China, P.R.: Mainland",43.24641891891892
2011,"China, P.R.: Mainland",32.79506849315069
2012,"China, P.R.: Mainland",65.95394160583942
2013,"China, P.R.: Mainland",43.40720720720721
2014,"China, P.R.: Mainland",45.95027397260274
2015,"China, P.R.: Mainland",35.57081081081081
2016,"China, P.R.: Mainland",59.02388489208633
2017,"China, P.R.: Mainland",55.21617647058824
2018,"China, P.R.: Mainland",50.76445945945946
2019,"China, P.R.: Mainland",63.87797297297298
2020,"China, P.R.: Mainland",80.15040540540541
2021,"China, P.R.: Mainland",87.09027027027028
2022,"China, P.R.: Mainland",101.67285714285714
2023,"China, P.R.: Mainland",85.95175675675677
2024,"China, P.R.: Mainland",76.31087719298246
1992,India,1.3243750000000003
1993,India,-10.998970588235293
1994,India,-21.141617647058823
1995,India,-1.2962992125984256
1996,India,-0.22834586466165413
1997,India,-24.603181818181817
1998,India,-5.157727272727272
1999,India,-6.91909090909091
2000,India,4.260588235294117
2001,India,2.085384615384615
2002,India,-5.664642857142858
2003,India,5.744123711340206
2004,India,4.189372822299651
2005,India,12.73223076923077
2006,India,2.453472222222222
2007,India,8.454054054054055
2008,India,37.444084507042255
2009,India,31.54794520547945
2010,India,47.66945945945946
2011,India,40.38068493150685
2012,India,50.49369565217391
2013,India,60.145022421524665
2014,India,45.10125
2015,India,60.44027027027027
2016,India,84.79939285714286
2017,India,56.77720588235294
2018,India,51.58736486486487
2019,India,49.762364864864864
2020,India,83.20095238095239
2021,India,102.6806418918919
2022,India,93.0048813559322
2023,India,61.67152027027027
