Year,Country,Drought,Extreme temperature,Flood,Landslide,Storm,Total Disasters,Wildfire,Sea Level,Carbon stocks in forests,Forest area,Index of carbon stocks in forests,Index of forest extent,Land area,Share of forest area,Artificial surfaces (including urban and associated areas): Climate altering,Climate Altering Land Cover Index: Climate altering,Grassland: Climate regulating,Herbaceous crops: Climate altering,Inland water bodies: Climate regulating,Mangroves: Climate regulating,Permanent snow and glaciers: Climate regulating,Shrub-covered areas: Climate regulating,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded: Climate regulating",Sparsely natural vegetated areas: Climate neutral,Terrestrial barren land: Climate neutral,Tree-covered areas: Climate regulating,Woody crops: Climate regulating,Temperature
1992,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-7.2975,3641.7913,34838.8,100.0,100.0,273669.0,12.73026905,306.72,92.17860947,14600.69,49504.82,4362.56,0.0,685.92,95921.21,8501.96,46863.31,12508.7,43495.57,1885.19,-0.297
1993,1,0.0,0.0,3.0,0.0,1.0,1.0,0.0,-18.45117647058824,3630.4948,34656.2,99.68980924,99.47587173,273669.0,12.66354611,314.44,92.19687768,14600.95,49506.97,4362.54,0.0,685.92,95918.17,8501.85,46863.01,12508.5,43496.38,1877.91,0.039
1994,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-14.96,3619.1983,34473.6,99.37961849,98.95174346,273669.0,12.59682317,322.37,92.21452332,14601.18,49508.57,4362.5,0.0,685.92,95915.21,8501.81,46862.81,12508.5,43497.28,1870.46,0.44
1995,1,0.0,1.0,2.0,0.0,1.0,1.0,0.0,-8.19225806451613,3607.9018,34291.0,99.06942773,98.42761519,273669.0,12.53010023,328.51,92.63957226,14624.69,49732.12,4390.36,0.0,685.92,95996.71,8491.79,46768.78,12616.0,43130.25,1871.49,0.203
1996,1,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-7.121764705882353,3596.6053,34108.4,98.75923697,97.90348692,273669.0,12.46337729,334.42,92.94273562,14626.2,49890.03,4427.82,0.0,685.92,95967.48,8485.55,46788.23,12639.9,42921.0,1870.05,0.457
1997,1,0.0,0.0,1.0,0.0,0.0,7.0,0.0,-4.366060606060605,3585.3087,33925.8,98.44904347,97.37935865,273669.0,12.39665435,339.84,93.40806104,14650.05,50136.09,4458.36,0.0,685.92,95974.11,8495.37,46786.19,12654.4,42593.75,1862.67,0.699
1998,1,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.5096969696969698,3574.0122,33743.2,98.13885271,96.85523038,273669.0,12.32993141,345.4,94.12478803,14684.47,50517.81,4498.31,0.0,685.92,96056.43,8542.3,46789.04,12669.0,41978.26,1869.67,0.284
1999,1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,-3.2175757575757578,3562.7157,33560.6,97.82866196,96.3311021,273669.0,12.26320847,350.79,95.25406556,14772.44,51122.68,4519.67,0.0,685.92,96174.78,8624.22,46712.45,12772.3,41044.62,1856.85,0.098
2000,1,0.0,1.0,4.0,0.0,2.0,3.0,1.0,-1.8011764705882352,3551.4192,33378.0,97.5184712,95.80697383,273669.0,12.19648554,356.6,95.68283726,14798.96,51348.57,4536.81,0.0,685.92,96264.81,8818.15,46743.46,12774.4,40451.28,1857.76,-0.249
2001,1,0.0,1.0,3.0,0.0,2.0,1.0,1.0,3.1085714285714285,3526.3652,33061.6,96.83051305,94.898791,273669.0,12.08087142,364.16,96.47491881,14874.43,51769.06,4533.4,0.0,685.92,96284.05,8973.13,46707.53,12804.3,39775.05,1865.82,0.357
2002,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.328732394366197,3501.3113,32745.2,96.14255765,93.99060817,273669.0,11.9652573,367.98,96.86192481,14888.1,51974.32,4486.85,0.0,685.92,96380.94,9031.43,46646.08,12891.5,39418.04,1865.42,0.208
2003,1,1.0,0.0,2.0,0.0,1.0,3.0,0.0,15.70931506849315,3476.2573,32428.8,95.4545995,93.08242534,273669.0,11.84964318,370.37,97.60169575,14936.54,52371.72,4461.21,0.0,685.92,96629.07,9107.66,46618.36,12927.5,38772.62,1755.78,0.584
2004,1,0.0,1.0,2.0,0.0,0.0,1.0,0.0,14.613055555555556,3451.2033,32112.4,94.76664135,92.17424251,273669.0,11.73402906,372.4,98.33426905,15009.06,52765.53,4362.48,0.0,685.92,97055.54,9129.79,46638.83,12909.8,38047.66,1659.59,0.404
2005,1,0.0,0.0,0.0,0.0,1.0,5.0,0.0,18.550153846153847,3426.1494,31796.0,94.07868595,91.26605968,273669.0,11.61841495,382.38,98.8259375,15050.13,53021.24,4324.8,0.0,685.92,97284.29,9148.92,46644.85,12913.4,37611.61,1569.07,0.197
2006,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.311666666666667,3401.0954,31479.6,93.3907278,90.35787685,273669.0,11.50280083,396.53,99.1428153,15060.86,53178.34,4250.41,0.0,685.92,97479.36,9189.12,46687.94,12918.7,37295.0,1494.51,0.509
2007,1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,19.703783783783784,3376.0414,31163.2,92.70276965,89.44969402,273669.0,11.38718671,408.23,99.38749752,15077.24,53298.85,4238.21,0.0,685.92,97756.55,9224.16,46716.61,12911.3,36878.46,1441.1,-0.261
2008,1,0.0,0.0,1.0,0.0,0.0,3.0,0.0,23.78148148148148,3350.9874,30846.8,92.0148115,88.54151119,273669.0,11.27157259,417.73,99.45888159,15086.25,53327.94,4193.54,0.0,685.92,98123.66,9293.73,46800.5,12875.8,36335.19,1496.45,0.504
2009,1,1.0,0.0,2.0,1.0,1.0,2.0,0.0,27.05689189189189,3325.9335,30530.4,91.3268561,87.63332836,273669.0,11.15595848,426.6,99.45592362,15105.94,53317.46,4122.97,0.0,685.92,98238.43,9317.87,46850.26,12868.1,36157.25,1545.85,0.751
