Country,Year,Temperature,Drought,Extreme temperature,Flood,Landslide,Storm,Total Disasters,Wildfire,Sea level Value,Artificial surfaces (including urban and associated areas): Climate altering,Cover Index: Climate altering,Grassland: Climate regulating,Herbaceous crops: Climate altering,Inland water bodies: Climate regulating,Mangroves: Climate regulating,Permanent snow and glaciers: Climate regulating,Shrub-covered areas: Climate regulating,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded: Climate regulating",Sparsely natural vegetated areas: Climate neutral,Terrestrial barren land: Climate neutral,Tree-covered areas: Climate regulating,Woody crops: Climate regulating,Carbon stocks in forests,Forest area,Index of carbon stocks in forests,Index of forest extent,Land area,Share of forest area
Afghanistan,1992,-0.294,0,0,2,0,0,2,0,-5.16,25.3207,98.59211187,24035.385,5763.3488,261.2284,0,317.574,3350.5526,5.8206,4275.2553,24963.0009,1263.7031,87.4339,2120.071125,1208.44,100,100,65223,1.852781994
Afghanistan,1993,0.22,0,0,0,2,1,3,0,-0.245294118,25.7741,98.69931926,24035.4149,5769.1948,261.2284,0,317.574,3350.5468,5.8206,4275.2243,24963.0009,1263.788,81.1109,2160.349425,1208.44,101.0724423,100,65223,1.852781994
Afghanistan,1994,0.43,0,0,0,0,0,0,0,-2.592352941,26.1577,98.67676926,24035.4401,5767.4886,261.2284,0,317.574,3350.5359,5.8206,4275.2243,24963.0009,1263.862,82.3606,2200.62775,1208.44,102.1448933,100,65223,1.852781994
Afghanistan,1995,0.359,0,0,2,1,0,3,0,2.565,26.6867,98.88136151,24045.9587,5778.9638,228.3898,0,317.574,3312.1205,5.8438,4227.8536,25088.5751,1241.1249,75.5124,2240.906,1208.44,103.2173317,100,65223,1.852781994
Afghanistan,1996,-0.116,0,0,1,0,0,1,0,-5.005454545,27.2273,99.05861232,24044.9846,5788.8312,207.9674,0,317.574,3306.6573,5.9213,4220.793,25108.3556,1240.8172,79.4857,2281.1843,1208.44,104.289774,100,65223,1.852781994
Afghanistan,1997,0.471,0,0,2,1,0,3,0,10.10666667,27.9248,99.17148342,24053.619,5794.7645,189.5678,0,317.574,3291.027,6.0066,4217.003,25131.6873,1240.3084,79.1738,2321.462625,1208.44,105.362225,100,65223,1.852781994
Afghanistan,1998,0.675,0,0,1,1,0,2,0,5.879393939,28.9886,99.35358094,24056.196,5804.3888,185.4756,0,317.574,3286.1783,6.0608,4202.0137,25139.2102,1240.2216,82.3105,2361.740925,1208.44,106.4346673,100,65223,1.852781994
Afghanistan,1999,1.198,0,0,1,0,0,2,1,-27.85090909,29.721,99.89566347,24193.0273,5835.4893,156.2255,0,317.574,3254.1849,6.0686,4192.6434,25045.9935,1241.4993,76.251,2402.0192,1208.44,107.5071067,100,65223,1.852781994
Afghanistan,2000,0.993,1,0,0,0,0,1,0,-22.78647059,30.7847,100.0859101,24253.1341,5845.5927,150.2344,0,317.574,3210.8115,6.0763,4064.552,25188.5125,1228.1143,53.2593,2442.297475,1208.44,108.5795456,100,65223,1.852781994
Afghanistan,2001,1.311,0,2,0,0,0,2,0,-24.04055556,33.1215,99.48283128,24308.3116,5807.8544,108.5681,0,317.574,3163.3889,6.5026,4034.3563,25318.6058,1197.5272,52.9155,2467.687975,1208.44,109.2260035,100,65223,1.852781994
